,Title,ID,Genre ID,Release Date,Release Year,Release Month,Release Day,Poster Path,Primary Genre,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV,Thriller,War,Western
628,Scooby-Doo Meets the Boo Brothers,24787,"[16, 12, 35, 10751, 10770]",1987-10-18,1987,10,18,/2jKmHNGED3cUyXd6oge5uuHYh3f.jpg,Animation,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
629,Scooby-Doo and the Ghoul School,13350,"[10770, 16, 10751, 35, 14]",1988-10-16,1988,10,16,/duMdoHLQvnzRDZm2CD66DT4PvS5.jpg,TV,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
630,Scooby-Doo! and the Reluctant Werewolf,37211,"[16, 35, 10751, 9648, 10770]",1988-11-13,1988,11,13,/cXUQuHnNBxFSZAmYfogMfrcvMk7.jpg,Animation,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
631,Scooby-Doo! and the Witch's Ghost,17681,"[16, 35, 14, 9648, 10751]",1999-11-05,1999,11,5,/7dXUodHXR1m0x6ZpyVpMrgNVfBD.jpg,Animation,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
632,Scooby-Doo! and the Loch Ness Monster,12902,"[12, 16, 35, 10751, 14, 9648]",2004-06-21,2004,6,21,/cQPkdWGPGoT87OEfVCwcVz6Zw8y.jpg,Adventure,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
633,Zack and Miri Make a Porno,10358,[35],2008-09-18,2008,9,18,/40qxr2p2s297Q1mWFJOsRatQPK0.jpg,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,Quartet,121826,"[18, 35, 10749]",2012-09-08,2012,9,8,/lDg2DfB5MuEoUeRFQqzBFVoWGep.jpg,Drama,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
635,Layer Cake,4836,"[18, 53, 80]",2004-09-30,2004,9,30,/fSE9AI2Ytz2mBZjelc32NiZGcj9.jpg,Drama,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
636,Call Me Lucky,316761,"[35, 99]",2015-08-07,2015,8,7,/eewB9ORnDZsxPoJiTKCcZMocm1p.jpg,Comedy,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
637,The Drop,154400,"[18, 80]",2014-09-12,2014,9,12,/tISeGHqQTzL91FVf8y6wyDU3TIO.jpg,Drama,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
638,Spooks: The Greater Good,292040,"[53, 28]",2015-04-11,2015,4,11,/qMBpZt24pvmv56XJImXvtp7XI8o.jpg,Thriller,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
639,Jim Gaffigan: Mr. Universe,101449,[35],2012-04-11,2012,4,11,/uCJOSa1FRS56mIrboXaSBMgRWMx.jpg,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,David Cross: Making America Great Again,408546,[35],2016-08-05,2016,8,5,/56PQtVg4SGhttbMBPHJobCWQEXJ.jpg,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,Donald Glover: Weirdo,84154,[35],2012-01-18,2012,1,18,/yWNAh2aJ4pgXXrC926gtOoeWam.jpg,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642,Safety Not Guaranteed,84332,"[35, 10749, 878, 18]",2012-06-08,2012,6,8,/bYiQAWmxRfzBie866SqOEEgtBXk.jpg,Comedy,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
643,John Mulaney: The Comeback Kid,367735,[35],2015-11-13,2015,11,13,/pzM9t33T2YUA7vaCb2GxaDrlTW1.jpg,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644,Bill Burr: I'm Sorry You Feel That Way,308571,[35],2014-12-05,2014,12,5,/abpDJ3XyqSp0sQdG7SIAItjBHb1.jpg,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,Aziz Ansari: Buried Alive,230158,[35],2013-11-01,2013,11,1,/luyVIMfNMBIxteagCoL0P06X0Zu.jpg,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646,Aziz Ansari: Live at Madison Square Garden,326665,[35],2015-03-06,2015,3,6,/jmZKABNheJNx6etJlGTPAvmJce9.jpg,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
647,Wild Tales,265195,"[18, 53, 35]",2014-08-21,2014,8,21,/pvSty5MCAxdj8LlAEXCDfM1YNOl.jpg,Drama,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
648,Clockstoppers,15028,"[12, 878, 53, 10751]",2002-03-17,2002,3,17,/uarqnArXNeLo1ezPwhMddy3KTMB.jpg,Adventure,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
649,Killing Them Softly,64689,"[80, 53]",2012-07-30,2012,7,30,/heaz45kpFa4Oa7iLis0OBas68ls.jpg,Crime,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
650,Sausage Party,223702,"[12, 16, 35, 14]",2016-07-11,2016,7,11,/6jjOY2Vgii2wbUOYNWkMLLqnpZB.jpg,Adventure,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
651,High Fidelity,243,"[35, 18, 10749, 10402]",2000-03-17,2000,3,17,/e2LZGB62GMhv3Fo8tDZjY87I81a.jpg,Comedy,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
652,Rejected,32536,"[16, 35]",2000-07-25,2000,7,25,/vbci2t9eg4l7fmPzyBaa0OFiyYP.jpg,Animation,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653,It's Such a Beautiful Day,489412,"[18, 16]",2012-08-24,2012,8,24,/o0CF7gnPb4CRFU3bmScoWAxKaqf.jpg,Drama,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
654,Zootopia,269149,"[16, 12, 10751, 35]",2016-02-11,2016,2,11,/hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg,Animation,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
655,The Verdict,24226,[18],1982-12-08,1982,12,8,/iYEuFP1bpj5yOenKliiRFcNO3VE.jpg,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
656,The Taking of Pelham 1 2 3,18487,"[53, 80, 28]",2009-06-11,2009,6,11,/bNbyjzhzJVadpWIQPb57ddWWdWI.jpg,Thriller,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
657,Hoot,18276,"[18, 10751]",2006-05-05,2006,5,5,/l3gbiQkSLXPRkJnH7QInA5zrk6n.jpg,Drama,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
658,The Benchwarmers,9957,[35],2006-04-07,2006,4,7,/5yMPCr4qhuNg6fT538xicHaMaG7.jpg,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
659,The Love Guru,12177,"[35, 10749]",2008-06-20,2008,6,20,/u81n6gGeRKZgnRUS959R8lMYS1o.jpg,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
660,Transporter 2,9335,"[28, 53, 80]",2005-08-02,2005,8,2,/cdm17vK8PxHfTi7ayZf6WKbOgUO.jpg,Action,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
661,Bicentennial Man,2277,"[878, 35, 18]",1999-01-21,1999,1,21,/wrs23eO0VEWwOQpXoOasMnlW9Y4.jpg,Science Fiction,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
662,Blank Check,13962,"[35, 10751]",1994-02-11,1994,2,11,/wmr5yiWbfM1LlOpkNTQ1pHDipUE.jpg,Comedy,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
663,Buzz Lightyear of Star Command: The Adventure Begins,16187,"[16, 10751, 35, 878, 12]",2000-08-08,2000,8,8,/mr43sXx7PRmwPmLgMYha7qLVAMn.jpg,Animation,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
664,Zodiac,1949,"[80, 18, 9648, 53]",2007-03-02,2007,3,2,/6YmeO4pB7XTh8P8F960O1uA14JO.jpg,Crime,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
665,Speed Racer,7459,"[10751, 28, 12, 35]",2008-05-07,2008,5,7,/4nESTRUpFmsE22FXXJ2211teZuK.jpg,Family,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
666,Sing Street,369557,"[35, 10749, 18, 10402]",2016-03-11,2016,3,11,/sUWpVlrvzU2SJbnVZqIeKulPKwk.jpg,Comedy,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
667,Hitch,8488,"[35, 18, 10749]",2005-02-11,2005,2,11,/63pBekwgDeDthPZzADssCmSrYwL.jpg,Comedy,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
668,Robots,9928,"[16, 35, 10751, 878]",2005-03-10,2005,3,10,/fnKCh67l2DDG9NxxIlk9IpsXQ99.jpg,Animation,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
